id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number,shot_shot_assist,shot_goal_assist,pass_cluster_id,pass_cluster_label,pass_cluster_probability,pass_success_probability,shot_execution_xg,shot_execution_xg_uplift,gk_save_difficulty_xg,gk_positioning_xg_suppression,gk_shot_stopping_xg_suppression
49ab9691-29d4-4da8-b982-7f20010bfbab,21,3946949,1,00:00:12.503,0,12,43,Carries,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,332097,Arbnor Muja,16,Left Midfield,65.4,5.0,95.4,2.1,,,5.651608,true,false,,,,,,,,,,,,,,false,,,,false,false,0.023389313,0.01354091,0.009848404,0.00880508,0.009786523,-9.814426E-4,0.010829846,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"23db9e3c-e4a1-41bc-a03e-d873db431082, 49ffd8eb-d565-4875-873e-cb5658a9a1ca, 4b8c3110-b4aa-4af7-8cec-946da9db76e5",,,,,,,,,,,,,,,,,,,,,,,
23db9e3c-e4a1-41bc-a03e-d873db431082,22,3946949,1,00:00:13.458,0,13,17,Pressure,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,48.3,74.5,,,,,0.586425,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,49ab9691-29d4-4da8-b982-7f20010bfbab,,,,,,,,,,,,,,,,,,,,,,,
910698b1-293e-4f5e-ba68-88ce6050f82c,23,3946949,1,00:00:17.265,0,17,17,Pressure,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,25.8,77.4,,,,,0.455233,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,
4b8c3110-b4aa-4af7-8cec-946da9db76e5,24,3946949,1,00:00:18.154,0,18,30,Pass,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,332097,Arbnor Muja,16,Left Midfield,95.4,2.1,96.2,4.7,,,1.111788,false,false,,,,,2.720294,1.2722974,1,Ground Pass,false,false,false,,,false,,,,false,false,0.01229701,0.023389313,-0.011092303,0.008903903,0.00880508,9.88226E-5,-0.011191126,9,Incomplete,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3cb51a93-56e1-44b1-8e5f-0f5031a4dcf5,,,,,,,,,,,,,,,49,Attacking third - Left - Backwards - Short - Ground Pass,0.9587428768,0.6440416574,,,,,
3cb51a93-56e1-44b1-8e5f-0f5031a4dcf5,25,3946949,1,00:00:19.266,0,19,2,Ball Recovery,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,7844,Jonas Svensson,2,Right Back,23.9,75.4,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4b8c3110-b4aa-4af7-8cec-946da9db76e5,,,,,,,,,,,,,,,,,,,,,,,
617c3be2-6b0e-45fa-8abe-197fa7c08b12,26,3946949,1,00:00:19.266,0,19,43,Carries,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,7844,Jonas Svensson,2,Right Back,23.9,75.4,23.7,72.9,,,0.471346,false,false,,,,,,,,,,,,,,false,,,,false,false,0.009453876,0.00880508,6.487956E-4,0.012087499,0.023389313,-0.011301815,0.01195061,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"3cb51a93-56e1-44b1-8e5f-0f5031a4dcf5, dd5c5ee0-7385-4740-bde3-2cb150ab2754",,,,,,,,,,,,,,,,,,,,,,,
dd5c5ee0-7385-4740-bde3-2cb150ab2754,27,3946949,1,00:00:19.738,0,19,30,Pass,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,7844,Jonas Svensson,2,Right Back,23.7,72.9,32.6,56.4,,,1.068143,false,false,,,10314,Gedson Carvalho Fernandes,18.747267,-1.0761324,1,Ground Pass,false,false,false,,,false,,,,false,false,0.013500708,0.009453876,0.004046832,0.011008294,0.012087499,-0.0010792045,0.0051260367,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b683042a-ba6f-4daf-b250-88f9d4a65342,,,,,,,,,,,,,,,42,Defensive third - Right - To left - Short - Ground Pass,0.8335589583,0.9492615461,,,,,
b683042a-ba6f-4daf-b250-88f9d4a65342,28,3946949,1,00:00:20.806,0,20,42,Ball Receipt*,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,10314,Gedson Carvalho Fernandes,9,Right Defensive Midfield,32.6,56.4,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dd5c5ee0-7385-4740-bde3-2cb150ab2754,,,,,,,,,,,,,,,,,,,,,,,
cb0aab4e-599b-4f31-8bbf-43384cae582d,29,3946949,1,00:00:20.806,0,20,30,Pass,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,10314,Gedson Carvalho Fernandes,9,Right Defensive Midfield,32.6,56.4,40.6,77.7,,,1.509315,false,false,,,10327,Rafael Alexandre Fernandes Ferreira da Silva,22.752802,1.2115113,3,High Pass,false,false,false,,,false,,,,false,false,0.0110751,0.013500708,-0.0024256082,0.011931313,0.011008294,9.230189E-4,-0.0033486271,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3926fbd7-3fff-4b6b-ada0-214f0976d27e,,,,,,,,,,,,,,,1,Midfield third - Center - To right - Short - Ground Pass,0.7773856423,0.6568047404,,,,,
3926fbd7-3fff-4b6b-ada0-214f0976d27e,30,3946949,1,00:00:22.315,0,22,42,Ball Receipt*,3,996,Beşiktaş,1,Regular Play,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,40.6,77.7,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cb0aab4e-599b-4f31-8bbf-43384cae582d,,,,,,,,,,,,,,,,,,,,,,,
